,0
0,https://openalex.org/W1985814542
1,https://openalex.org/W2089123513
2,https://openalex.org/W2953072907
3,https://openalex.org/W2088230841
4,https://openalex.org/W2511661767
5,https://openalex.org/W3121567788
6,https://openalex.org/W2011443643
7,https://openalex.org/W1560783210
8,https://openalex.org/W1981083189
9,https://openalex.org/W2023783748
10,https://openalex.org/W1767272795
11,https://openalex.org/W2015134878
12,https://openalex.org/W2306268324
13,https://openalex.org/W2737712680
14,https://openalex.org/W2951351472
15,https://openalex.org/W2040069617
16,https://openalex.org/W2048185449
17,https://openalex.org/W2588027260
18,https://openalex.org/W2952984634
19,https://openalex.org/W2124116191
20,https://openalex.org/W2785823074
21,https://openalex.org/W1976396629
22,https://openalex.org/W2020874028
23,https://openalex.org/W4252798611
24,https://openalex.org/W2039146085
25,https://openalex.org/W2020123068
26,https://openalex.org/W2016860460
27,https://openalex.org/W2140880926
28,https://openalex.org/W4240507605
29,https://openalex.org/W2069656088
30,https://openalex.org/W2061451796
31,https://openalex.org/W1957687230
32,https://openalex.org/W2322381034
33,https://openalex.org/W2089745446
34,https://openalex.org/W2950890478
35,https://openalex.org/W2587705861
36,https://openalex.org/W1970217003
37,https://openalex.org/W2100379340
38,https://openalex.org/W2145046628
39,https://openalex.org/W4291732787
40,https://openalex.org/W2231201268
41,https://openalex.org/W4254015553
42,https://openalex.org/W2345375849
43,https://openalex.org/W2997143876
44,https://openalex.org/W4232875366
45,https://openalex.org/W1842065797
46,https://openalex.org/W2078310052
47,https://openalex.org/W2088909840
48,https://openalex.org/W2134049161
49,https://openalex.org/W2463568293
50,https://openalex.org/W2058954808
51,https://openalex.org/W2010041172
52,https://openalex.org/W2100117397
53,https://openalex.org/W2137725064
54,https://openalex.org/W2006972602
55,https://openalex.org/W2089604928
56,https://openalex.org/W1997125517
57,https://openalex.org/W2063332351
58,https://openalex.org/W2003844967
59,https://openalex.org/W2054299130
60,https://openalex.org/W2753353163
61,https://openalex.org/W4298108315
62,https://openalex.org/W1724212071
63,https://openalex.org/W2029057325
64,https://openalex.org/W2020807482
65,https://openalex.org/W3147537460
66,https://openalex.org/W2096345420
67,https://openalex.org/W2031754690
68,https://openalex.org/W4229617755
69,https://openalex.org/W2160597895
70,https://openalex.org/W2088209891
71,https://openalex.org/W2520991028
72,https://openalex.org/W2563251083
73,https://openalex.org/W1907242353
74,https://openalex.org/W1987360189
75,https://openalex.org/W2343014812
76,https://openalex.org/W2115339903
77,https://openalex.org/W2002034968
78,https://openalex.org/W2566143661
